AREA,AREA_TITLE,GeoFIPS,GeoName,match_rule
15980,"Cape Coral-Fort Myers, FL",15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16020,"Cape Girardeau, MO-IL",16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16180,"Carson City, NV",16180,"Carson City, NV (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16220,"Casper, WY",16220,"Casper, WY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16300,"Cedar Rapids, IA",16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16540,"Chambersburg, PA",16540,"Chambersburg, PA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16580,"Champaign-Urbana, IL",16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16620,"Charleston, WV",16620,"Charleston, WV (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16700,"Charleston-North Charleston, SC",16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16740,"Charlotte-Concord-Gastonia, NC-SC",16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16820,"Charlottesville, VA",16820,"Charlottesville, VA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16860,"Chattanooga, TN-GA",16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16940,"Cheyenne, WY",16940,"Cheyenne, WY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
16980,"Chicago-Naperville-Elgin, IL-IN",16980,"Chicago-Naperville-Elgin, IL-IN (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17020,"Chico, CA",17020,"Chico, CA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17140,"Cincinnati, OH-KY-IN",17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17300,"Clarksville, TN-KY",17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17410,"Cleveland, OH",17410,"Cleveland, OH (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17420,"Cleveland, TN",17420,"Cleveland, TN (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17660,"Coeur d'Alene, ID",17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17780,"College Station-Bryan, TX",17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17820,"Colorado Springs, CO",17820,"Colorado Springs, CO (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17860,"Columbia, MO",17860,"Columbia, MO (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17900,"Columbia, SC",17900,"Columbia, SC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
17980,"Columbus, GA-AL",17980,"Columbus, GA-AL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
18020,"Columbus, IN",18020,"Columbus, IN (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
18140,"Columbus, OH",18140,"Columbus, OH (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
18580,"Corpus Christi, TX",18580,"Corpus Christi, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
18700,"Corvallis, OR",18700,"Corvallis, OR (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
18880,"Crestview-Fort Walton Beach-Destin, FL",18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19100,"Dallas-Fort Worth-Arlington, TX",19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19140,"Dalton, GA",19140,"Dalton, GA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19300,"Daphne-Fairhope-Foley, AL",19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19340,"Davenport-Moline-Rock Island, IA-IL",19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19430,"Dayton-Kettering-Beavercreek, OH",19430,"Dayton-Kettering-Beavercreek, OH (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19460,"Decatur, AL",19460,"Decatur, AL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19500,"Decatur, IL",19500,"Decatur, IL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19660,"Deltona-Daytona Beach-Ormond Beach, FL",19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19740,"Denver-Aurora-Centennial, CO",19740,"Denver-Aurora-Centennial, CO (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19780,"Des Moines-West Des Moines, IA",19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
19820,"Detroit-Warren-Dearborn, MI",19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
20020,"Dothan, AL",20020,"Dothan, AL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
20100,"Dover, DE",20100,"Dover, DE (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
20220,"Dubuque, IA",20220,"Dubuque, IA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
20260,"Duluth, MN-WI",20260,"Duluth, MN-WI (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
20500,"Durham-Chapel Hill, NC",20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
20580,"Eagle Pass, TX",20580,"Eagle Pass, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
20740,"Eau Claire, WI",20740,"Eau Claire, WI (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
20940,"El Centro, CA",20940,"El Centro, CA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
21060,"Elizabethtown, KY",21060,"Elizabethtown, KY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
21140,"Elkhart-Goshen, IN",21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
21300,"Elmira, NY",21300,"Elmira, NY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
21340,"El Paso, TX",21340,"El Paso, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
21420,"Enid, OK",21420,"Enid, OK (Metropolitan Statistical Area) *",exact_AREA_eq_GeoFIPS
