AREA,AREA_TITLE,AREA_TYPE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,A_MEDIAN,A_PCT25,A_PCT75,TOT_EMP
12420,"Austin-Round Rock-San Marcos, TX",4,35-2011,"Cooks, Fast Food",detailed,30780,29850,27730,35620,2750
12420,"Austin-Round Rock-San Marcos, TX",4,35-2012,"Cooks, Institution and Cafeteria",detailed,36200,36620,30590,39910,2770
12420,"Austin-Round Rock-San Marcos, TX",4,35-2014,"Cooks, Restaurant",detailed,36200,36590,31590,39030,12720
12420,"Austin-Round Rock-San Marcos, TX",4,35-2015,"Cooks, Short Order",detailed,32200,30970,27740,37510,300
12420,"Austin-Round Rock-San Marcos, TX",4,35-2019,"Cooks, All Other",detailed,34180,34100,27730,38420,740
12420,"Austin-Round Rock-San Marcos, TX",4,35-2021,Food Preparation Workers,detailed,33280,33310,27490,37270,10020
12420,"Austin-Round Rock-San Marcos, TX",4,35-3011,Bartenders,detailed,37540,30160,21090,47840,5950
12420,"Austin-Round Rock-San Marcos, TX",4,35-3023,Fast Food and Counter Workers,detailed,29300,28920,27030,33430,36210
12420,"Austin-Round Rock-San Marcos, TX",4,35-3031,Waiters and Waitresses,detailed,35470,29740,20760,44940,19930
12420,"Austin-Round Rock-San Marcos, TX",4,35-3041,"Food Servers, Nonrestaurant",detailed,31280,31580,28420,34830,2150
12420,"Austin-Round Rock-San Marcos, TX",4,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,30330,29950,22790,34230,5240
12420,"Austin-Round Rock-San Marcos, TX",4,35-9021,Dishwashers,detailed,32470,32050,28220,36320,3510
12420,"Austin-Round Rock-San Marcos, TX",4,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,29970,28230,26160,34660,3490
12420,"Austin-Round Rock-San Marcos, TX",4,35-9099,"Food Preparation and Serving Related Workers, All Other",detailed,35670,39930,26420,43780,260
12420,"Austin-Round Rock-San Marcos, TX",4,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,37450,36340,30480,39890,34080
12420,"Austin-Round Rock-San Marcos, TX",4,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,44410,39990,34650,51200,1570
12420,"Austin-Round Rock-San Marcos, TX",4,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,57920,55080,47220,64160,1130
12420,"Austin-Round Rock-San Marcos, TX",4,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,35150,36040,29570,38210,15240
12420,"Austin-Round Rock-San Marcos, TX",4,37-2012,Maids and Housekeeping Cleaners,detailed,32190,31650,29170,34730,6090
12420,"Austin-Round Rock-San Marcos, TX",4,37-2021,Pest Control Workers,detailed,49580,45780,37600,57020,980
12420,"Austin-Round Rock-San Marcos, TX",4,37-3011,Landscaping and Groundskeeping Workers,detailed,39370,37960,36090,44040,8490
12420,"Austin-Round Rock-San Marcos, TX",4,37-3013,Tree Trimmers and Pruners,detailed,47530,44150,40020,47430,320
12420,"Austin-Round Rock-San Marcos, TX",4,37-3019,"Grounds Maintenance Workers, All Other",detailed,49130,47020,42370,51090,50
12420,"Austin-Round Rock-San Marcos, TX",4,39-0000,Personal Care and Service Occupations,major,37640,32360,27500,43840,24770
12420,"Austin-Round Rock-San Marcos, TX",4,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",detailed,49170,45500,35850,58740,800
12420,"Austin-Round Rock-San Marcos, TX",4,39-1022,First-Line Supervisors of Personal Service Workers,detailed,48770,46060,35490,57800,1210
12420,"Austin-Round Rock-San Marcos, TX",4,39-2011,Animal Trainers,detailed,37520,34410,31110,44450,70
12420,"Austin-Round Rock-San Marcos, TX",4,39-2021,Animal Caretakers,detailed,33670,30700,29270,36340,2710
12420,"Austin-Round Rock-San Marcos, TX",4,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,30340,28540,26040,34700,1600
12420,"Austin-Round Rock-San Marcos, TX",4,39-3091,Amusement and Recreation Attendants,detailed,29400,28790,23070,33040,2460
12420,"Austin-Round Rock-San Marcos, TX",4,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,31430,34260,18610,38020,80
12420,"Austin-Round Rock-San Marcos, TX",4,39-4021,Funeral Attendants,detailed,33770,33230,27860,36410,80
12420,"Austin-Round Rock-San Marcos, TX",4,39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,44230,35980,29700,58020,60
12420,"Austin-Round Rock-San Marcos, TX",4,39-5011,Barbers,detailed,55110,39060,29150,78570,540
12420,"Austin-Round Rock-San Marcos, TX",4,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,43540,33630,27720,47390,2710
12420,"Austin-Round Rock-San Marcos, TX",4,39-5092,Manicurists and Pedicurists,detailed,38790,37360,28330,44450,790
12420,"Austin-Round Rock-San Marcos, TX",4,39-5094,Skincare Specialists,detailed,51380,47480,27270,71790,770
12420,"Austin-Round Rock-San Marcos, TX",4,39-6011,Baggage Porters and Bellhops,detailed,30630,31290,22790,35790,230
12420,"Austin-Round Rock-San Marcos, TX",4,39-6012,Concierges,detailed,35320,34290,30630,36810,200
12420,"Austin-Round Rock-San Marcos, TX",4,39-7010,Tour and Travel Guides,detailed,35720,28360,27280,40030,330
12420,"Austin-Round Rock-San Marcos, TX",4,39-9011,Childcare Workers,detailed,30800,29830,26120,35620,4190
12420,"Austin-Round Rock-San Marcos, TX",4,39-9031,Exercise Trainers and Group Fitness Instructors,detailed,41190,36390,22350,57960,2980
12420,"Austin-Round Rock-San Marcos, TX",4,39-9032,Recreation Workers,detailed,38630,38940,31240,43840,1730
12420,"Austin-Round Rock-San Marcos, TX",4,39-9041,Residential Advisors,detailed,43100,42730,37590,47160,440
12420,"Austin-Round Rock-San Marcos, TX",4,39-9099,"Personal Care and Service Workers, All Other",detailed,42390,38960,27500,58970,190
12420,"Austin-Round Rock-San Marcos, TX",4,41-0000,Sales and Related Occupations,major,56730,38780,30280,63910,111110
12420,"Austin-Round Rock-San Marcos, TX",4,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,52280,48190,36840,61620,8210
12420,"Austin-Round Rock-San Marcos, TX",4,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,88010,80410,58170,101590,2230
12420,"Austin-Round Rock-San Marcos, TX",4,41-2011,Cashiers,detailed,31410,30110,27760,35540,20270
12420,"Austin-Round Rock-San Marcos, TX",4,41-2021,Counter and Rental Clerks,detailed,40510,37210,32290,42910,3400
12420,"Austin-Round Rock-San Marcos, TX",4,41-2022,Parts Salespersons,detailed,43540,37530,29630,49280,1610
12420,"Austin-Round Rock-San Marcos, TX",4,41-2031,Retail Salespersons,detailed,35450,31680,28040,37390,29580
12420,"Austin-Round Rock-San Marcos, TX",4,41-3011,Advertising Sales Agents,detailed,62040,55440,38220,74720,770
12420,"Austin-Round Rock-San Marcos, TX",4,41-3021,Insurance Sales Agents,detailed,70930,46410,43860,81350,4710
12420,"Austin-Round Rock-San Marcos, TX",4,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,101490,67160,48960,127330,3710
12420,"Austin-Round Rock-San Marcos, TX",4,41-3041,Travel Agents,detailed,57840,58800,43340,65430,320
12420,"Austin-Round Rock-San Marcos, TX",4,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,78040,64280,48190,94200,12690
12420,"Austin-Round Rock-San Marcos, TX",4,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,94790,79790,62690,109810,9490
12420,"Austin-Round Rock-San Marcos, TX",4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,83540,64280,48180,96350,6490
12420,"Austin-Round Rock-San Marcos, TX",4,41-9011,Demonstrators and Product Promoters,detailed,43120,39710,36700,45160,630
12420,"Austin-Round Rock-San Marcos, TX",4,41-9021,Real Estate Brokers,detailed,72020,66700,47690,66700,**
12420,"Austin-Round Rock-San Marcos, TX",4,41-9022,Real Estate Sales Agents,detailed,86230,80540,44300,101170,2890
12420,"Austin-Round Rock-San Marcos, TX",4,41-9031,Sales Engineers,detailed,139900,137210,104440,167340,1200
12420,"Austin-Round Rock-San Marcos, TX",4,41-9041,Telemarketers,detailed,34640,30980,26940,36210,850
12420,"Austin-Round Rock-San Marcos, TX",4,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,*,*,*,*,40
12420,"Austin-Round Rock-San Marcos, TX",4,41-9099,"Sales and Related Workers, All Other",detailed,40940,36910,27090,48240,1370
12420,"Austin-Round Rock-San Marcos, TX",4,43-0000,Office and Administrative Support Occupations,major,50770,46710,37300,59860,156720
12420,"Austin-Round Rock-San Marcos, TX",4,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,76710,74620,57980,90800,17500
12420,"Austin-Round Rock-San Marcos, TX",4,43-2011,"Switchboard Operators, Including Answering Service",detailed,34320,32220,27950,39040,180
12420,"Austin-Round Rock-San Marcos, TX",4,43-2021,Telephone Operators,detailed,42870,43680,38360,43680,**
12420,"Austin-Round Rock-San Marcos, TX",4,43-3011,Bill and Account Collectors,detailed,49920,47130,39540,57050,1740
12420,"Austin-Round Rock-San Marcos, TX",4,43-3021,Billing and Posting Clerks,detailed,46770,46240,38600,52740,2640
12420,"Austin-Round Rock-San Marcos, TX",4,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,54170,54300,44450,62400,12850
12420,"Austin-Round Rock-San Marcos, TX",4,43-3051,Payroll and Timekeeping Clerks,detailed,58080,57710,47930,66270,1070
